idx,vcf_name,NMFS_DNA_ID,ref_pop,group
1,DPCh_plate1_E04_S52,T145123,Klamath,reference
2,DPCh_plate1_C04_S28,T145120,Klamath,reference
3,DPCh_plate1_B01_S13,T144770,Klamath,reference
4,DPCh_plate1_E03_S51,T145114,Klamath,reference
5,DPCh_plate1_C03_S27,T145112,Klamath,reference
6,DPCh_plate1_A01_S1,T144767,Klamath,reference
7,DPCh_plate1_F04_S64,T145124,Klamath,reference
8,DPCh_plate1_H02_S86,T144861,Klamath,reference
9,DPCh_plate1_G01_S73,T144790,Klamath,reference
10,DPCh_plate1_F02_S62,T144844,Klamath,reference
11,DPCh_plate1_D01_S37,T144777,Klamath,reference
12,DPCh_plate1_F03_S63,T145115,Klamath,reference
13,DPCh_plate1_D02_S38,T144831,Klamath,reference
14,DPCh_plate1_G11_S83,T145189,Klamath,reference
15,DPCh_plate1_E12_S60,T145218,Klamath,reference
16,DPCh_plate1_H11_S95,T145190,Klamath,reference
17,DPCh_plate1_A12_S12,T145192,Klamath,reference
18,DPCh_plate1_E11_S59,T145167,Klamath,reference
19,DPCh_plate1_H12_S96,T145243,Klamath,reference
20,DPCh_plate1_B04_S16,T145119,Klamath,reference
21,DPCh_plate1_D12_S48,T145214,Klamath,reference
22,DPCh_plate1_G09_S81,T144974,Klamath,reference
23,DPCh_plate1_H01_S85,T144798,Klamath,reference
24,DPCh_plate1_D11_S47,T145163,Klamath,reference
25,DPCh_plate1_B10_S22,T144981,Klamath,reference
26,DPCh_plate1_C12_S36,T145200,Klamath,reference
27,DPCh_plate1_C11_S35,T145153,Klamath,reference
28,DPCh_plate1_C10_S34,T144989,Klamath,reference
29,DPCh_plate1_H09_S93,T144979,Klamath,reference
30,DPCh_plate1_A02_S2,T144804,Klamath,reference
31,DPCh_plate1_B11_S23,T145152,Klamath,reference
32,DPCh_plate1_G12_S84,T145242,Klamath,reference
33,DPCh_plate1_F12_S72,T145241,Klamath,reference
34,DPCh_plate1_B12_S24,T145193,Klamath,reference
35,DPCh_plate1_G10_S82,T144997,Klamath,reference
36,DPCh_plate1_G02_S74,T144847,Klamath,reference
37,DPCh_plate1_H10_S94,T145003,Klamath,reference
38,DPCh_plate1_D09_S45,T144967,Klamath,reference
39,DPCh_plate1_F10_S70,T144996,Klamath,reference
40,DPCh_plate1_F11_S71,T145171,Klamath,reference
41,DPCh_plate1_E02_S50,T144841,Klamath,reference
42,DPCh_plate1_A10_S10,T144980,Klamath,reference
43,DPCh_plate1_E09_S57,T144968,Klamath,reference
44,DPCh_plate1_F09_S69,T144969,Klamath,reference
45,DPCh_plate1_D10_S46,T144990,Klamath,reference
46,DPCh_plate1_B02_S14,T144805,Klamath,reference
47,DPCh_plate1_E10_S58,T144991,Klamath,reference
48,DPCh_plate1_A09_S9,T144959,Klamath,reference
49,DPCh_plate1_B09_S21,T144960,Klamath,reference
50,DPCh_plate1_A11_S11,T145151,Klamath,reference
51,DPCh_plate1_C09_S33,T144961,Klamath,reference
52,DPCh_plate1_C02_S26,T144806,Klamath,reference
53,DPCh_plate2_C04_S116,T145100,Sacramento,reference
54,DPCh_plate1_F05_S65,T144896,Sacramento,reference
55,DPCh_plate2_E04_S132,T145102,Sacramento,reference
56,DPCh_plate2_F01_S137,T145062,Sacramento,reference
57,DPCh_plate2_D04_S124,T145101,Sacramento,reference
58,DPCh_plate2_E02_S130,T145069,Sacramento,reference
59,DPCh_plate2_G02_S146,T145071,Sacramento,reference
60,DPCh_plate2_B04_S108,T145097,Sacramento,reference
61,DPCh_plate2_F02_S138,T145070,Sacramento,reference
62,DPCh_plate1_C06_S30,T144920,Sacramento,reference
63,DPCh_plate1_H08_S92,T145150,Sacramento,reference
64,DPCh_plate1_B06_S18,T144911,Sacramento,reference
65,DPCh_plate1_D05_S41,T144879,Sacramento,reference
66,DPCh_plate1_B08_S20,T145144,Sacramento,reference
67,DPCh_plate2_F03_S139,T145088,Sacramento,reference
68,DPCh_plate2_G03_S147,T145089,Sacramento,reference
69,DPCh_plate2_H04_S156,T145105,Sacramento,reference
70,DPCh_plate1_F07_S67,T145139,Sacramento,reference
71,DPCh_plate2_C03_S115,T145085,Sacramento,reference
72,DPCh_plate2_B03_S107,T145084,Sacramento,reference
73,DPCh_plate2_D01_S121,T145060,Sacramento,reference
74,DPCh_plate1_G05_S77,T144897,Sacramento,reference
75,DPCh_plate1_G06_S78,T144952,Sacramento,reference
76,DPCh_plate2_H01_S153,T145064,Sacramento,reference
77,DPCh_plate1_F06_S66,T144951,Sacramento,reference
78,DPCh_plate1_F08_S68,T145148,Sacramento,reference
79,DPCh_plate1_G07_S79,T145140,Sacramento,reference
80,DPCh_plate1_D08_S44,T145146,Sacramento,reference
81,DPCh_plate2_H02_S154,T145073,Sacramento,reference
82,DPCh_plate2_A03_S99,T145082,Sacramento,reference
83,DPCh_plate1_B05_S17,T144870,Sacramento,reference
84,DPCh_plate1_E05_S53,T144893,Sacramento,reference
85,DPCh_plate2_F04_S140,T145103,Sacramento,reference
86,DPCh_plate1_E07_S55,T145136,Sacramento,reference
87,DPCh_plate2_G01_S145,T145063,Sacramento,reference
88,DPCh_plate1_D06_S42,T144924,Sacramento,reference
89,DPCh_plate1_E06_S54,T144934,Sacramento,reference
90,DPCh_plate1_A07_S7,T145128,Sacramento,reference
91,DPCh_plate1_C05_S29,T144871,Sacramento,reference
92,DPCh_plate2_G04_S148,T145104,Sacramento,reference
93,DPCh_plate2_D02_S122,T145068,Sacramento,reference
94,DPCh_plate1_H05_S89,T144902,Sacramento,reference
95,DPCh_plate2_E01_S129,T145061,Sacramento,reference
96,DPCh_plate1_A06_S6,T144906,Sacramento,reference
97,DPCh_plate1_A08_S8,T145142,Sacramento,reference
98,DPCh_plate1_C07_S31,T145131,Sacramento,reference
99,DPCh_plate1_E08_S56,T145147,Sacramento,reference
100,DPCh_plate1_B07_S19,T145130,Sacramento,reference
101,DPCh_plate1_C08_S32,T145145,Sacramento,reference
102,DPCh_plate1_H07_S91,T145141,Sacramento,reference
103,DPCh_plate1_A05_S5,T144863,Sacramento,reference
104,DPCh_plate1_D07_S43,T145133,Sacramento,reference
105,DPCh_plate1_G03_S75,T145116,Klamath,mixture
106,DPCh_plate1_A03_S3,T145109,Klamath,mixture
107,DPCh_plate1_H03_S87,T145117,Klamath,mixture
108,DPCh_plate1_E01_S49,T144778,Klamath,mixture
109,DPCh_plate1_G04_S76,T145125,Klamath,mixture
110,DPCh_plate1_C01_S25,T144774,Klamath,mixture
111,DPCh_plate1_F01_S61,T144782,Klamath,mixture
112,DPCh_plate1_D04_S40,T145121,Klamath,mixture
113,DPCh_plate1_H04_S88,T145126,Klamath,mixture
114,DPCh_plate1_D03_S39,T145113,Klamath,mixture
115,DPCh_plate1_A04_S4,T145118,Klamath,mixture
116,DPCh_plate1_B03_S15,T145111,Klamath,mixture
117,DPCh_plate2_B02_S106,T145066,Sacramento,mixture
118,DPCh_plate2_H03_S155,T145091,Sacramento,mixture
119,DPCh_plate2_C01_S113,T145059,Sacramento,mixture
120,DPCh_plate2_C02_S114,T145067,Sacramento,mixture
121,DPCh_plate2_A02_S98,T145065,Sacramento,mixture
122,DPCh_plate2_B01_S105,T145058,Sacramento,mixture
123,DPCh_plate2_A04_S100,T145092,Sacramento,mixture
124,DPCh_plate2_D03_S123,T145086,Sacramento,mixture
125,DPCh_plate2_E03_S131,T145087,Sacramento,mixture
126,DPCh_plate1_H06_S90,T144958,Sacramento,mixture
127,DPCh_plate1_G08_S80,T145149,Sacramento,mixture
128,DPCh_plate2_A01_S97,T145057,Sacramento,mixture
